Date,Open,High,Low,Close,Volume
11/9/2004 15:30:00,148.38,149.74,147.13,148.55,917339
11/10/2004 15:30:00,148.88,149.88,148.76,149.29,716799
11/11/2004 15:30:00,149.88,150.43,148.89,149.53,654391
11/12/2004 15:30:00,150.5,151,148.78,149.6,226676
11/16/2004 15:30:00,149.75,149.75,148,148.86,500688
11/17/2004 15:30:00,148.94,151.24,148.94,150.68,683492
11/18/2004 15:30:00,151.18,154.32,150.81,153.88,934016
11/19/2004 15:30:00,154.13,154.63,151.39,152.14,851595
11/22/2004 15:30:00,150.98,153.25,149.38,152.81,592284
11/23/2004 15:30:00,153.82,155.25,153.02,154.45,539099
11/24/2004 15:30:00,154.88,155.63,153.77,154.24,402913
11/25/2004 15:30:00,154.25,155.5,151.08,152.11,788859
11/29/2004 15:30:00,152,155.96,150.7,155.49,660186
11/30/2004 15:30:00,156.02,160.75,155.63,159.33,1313518
12/1/2004 15:30:00,160.13,160.13,157.13,157.7,1060233
12/2/2004 15:30:00,158.13,159.63,154.89,155.32,1207213
12/3/2004 15:30:00,156.16,156.99,152.7,154.6,1222152
12/6/2004 15:30:00,155,156.25,151.06,151.82,1434234
12/7/2004 15:30:00,152,154.11,151.88,152.28,982903
12/8/2004 15:30:00,152.25,153.32,149.51,150.1,916176
12/9/2004 15:30:00,150.62,152.13,150.61,151.43,475153
12/10/2004 15:30:00,152.5,154.44,151.75,153.21,777101
12/13/2004 15:30:00,153.25,155.21,153.16,154.52,624529
12/14/2004 15:30:00,155.25,155.59,153.79,154.15,385438
12/15/2004 15:30:00,155.5,156.85,154.75,155.69,721584
12/16/2004 15:30:00,156.06,158.13,154.75,157.83,543808
12/17/2004 15:30:00,157.5,159.35,156.51,157.06,688719
12/20/2004 15:30:00,157.5,158.56,157.06,157.82,283553
12/21/2004 15:30:00,158.12,159.63,157.9,159.09,432314
12/22/2004 15:30:00,159.39,159.39,153.75,155.02,750214
12/23/2004 15:30:00,155.96,155.96,153.13,153.48,493614
12/24/2004 15:30:00,154.12,159,152.7,158.49,832732
12/27/2004 15:30:00,158.75,160.63,157.78,158.82,550063
12/28/2004 15:30:00,159,164.25,158.28,163.67,1201806
12/29/2004 15:30:00,164.62,167.11,164.15,165.03,829153
12/30/2004 15:30:00,164.75,166,161.48,162.08,703349
12/31/2004 15:30:00,162.5,167.35,162.08,166.93,612414
1/3/2005 15:30:00,166.93,169.59,166.93,169.16,591771
1/4/2005 15:30:00,168.75,169.25,166.65,167.66,622388
1/5/2005 15:30:00,167.53,167.53,160.04,165.63,1200540
1/6/2005 15:30:00,165,168.25,161.56,165.06,1000861
1/7/2005 15:30:00,166.25,168.13,164.08,167.49,952892
1/10/2005 15:30:00,168.58,169.93,165.25,165.93,940196
1/11/2005 15:30:00,166.25,166.91,162.63,164.22,998297
1/12/2005 15:30:00,165.74,170.99,160.84,162.26,2590004
1/13/2005 15:30:00,163.75,167.34,159.38,161.61,3469744
1/14/2005 15:30:00,163.09,164.74,159.63,162.05,1969722
1/17/2005 15:30:00,163.7,163.7,155.03,157.91,1706398
1/18/2005 15:30:00,159.34,160.5,157.19,157.98,772908
1/19/2005 15:30:00,158.25,159.21,156.39,156.93,442311
